T,SoC,C1,C2,C3
10,1,6248.79673023392,30934.9857740101,213143.188203494
10,0.99,6248.79673023392,30934.9857740101,213143.188203494
10,0.98,6593.82272872299,30505.1286962445,164790.071359612
10,0.97,8792.61094787996,33485.8725471939,185555.543285313
10,0.96,8806.41677989922,33143.4629727945,211073.085509331
10,0.95,8869.46348327253,35719.1012152538,213214.837975269
10,0.94,8088.51611430335,30588.6936785013,365384.168025844
10,0.93,7758.25128461037,30085.8321292351,255674.810126771
10,0.92,8130.34773034394,32466.4693772903,231739.311854151
10,0.91,7599.31507271589,31846.5585425236,366319.889975023
10,0.86,10118.9393886174,48316.5332792833,420645.193450911
10,0.809999999999999,21704.3311463774,56865.8531553433,247844.840561519
10,0.76,21075.9189864369,126374.026149367,428787.381714322
10,0.71,19343.5466985684,156970.999651529,589823.895923881
10,0.66,19258.2876844271,231313.887963822,685420.147240271
10,0.61,18886.2126288637,216347.175503331,725738.351447668
10,0.56,20355.1474631853,153275.942906302,591958.145936062
10,0.51,21941.5439300563,66369.4341157045,405272.784825443
10,0.46,20664.1917945533,48795.5617454399,200127.144925793
10,0.41,20126.8733161043,52994.1098264212,224642.377486932
10,0.36,20054.032653107,61094.8653978319,270296.207682217
10,0.31,20962.2509674985,64226.3524446286,395593.451362736
10,0.26,10828.4441263764,51179.9982226368,525504.837627972
10,0.209999999999999,7045.59380874436,45841.01670266,459937.452099919
10,0.16,6229.36699751579,73646.8390976125,706520.588824435
10,0.15,4613.92957818491,30492.6483158724,390735.124844049
10,0.139999999999999,4255.6737472218,28315.6559372394,332530.192195313
10,0.13,4159.51681603135,24365.5053463452,240601.172284626
10,0.12,4303.05554695111,21254.7736392549,238131.585243093
10,0.109999999999999,4260.50017331222,21814.4788597488,301119.511883599
10,0.0999999999999999,4346.36279491806,31954.5804334101,390672.35046039
10,0.09,4244.19476969343,32191.5578449699,297499.113850742
10,0.0799999999999999,4308.69766892319,32974.1328636238,284835.433955966
10,0.0699999999999999,3909.26891009816,30074.2888480953,246703.383032313
10,0.06,3548.35912466814,25861.8167399714,233586.436487368
10,0.0499999999999999,2947.28307478869,19902.9840746415,192171.545232576
10,0.0399999999999999,2947.28307478869,19902.9840746415,192171.545232576
10,0.03,2947.28307478869,19902.9840746415,192171.545232576
10,0.0199999999999999,2947.28307478869,19902.9840746415,192171.545232576
10,0.00999999999999998,2947.28307478869,19902.9840746415,192171.545232576
10,0,2947.28307478869,19902.9840746415,192171.545232576
20,1,6918.59180580206,35851.7614921704,346153.752171619
20,0.99,6918.59180580206,35851.7614921704,346153.752171619
20,0.98,7885.96919878092,33282.7055244331,176192.738761706
20,0.97,13983.0744874106,44658.1007311367,237747.144078786
20,0.96,12736.5060877282,35998.6026639126,283612.397566173
20,0.95,11797.7200597758,37847.8838010362,268746.282872473
20,0.94,11073.979325396,39802.4922524081,312322.535591364
20,0.93,12826.7625074415,41766.0232867941,332889.18747608
20,0.92,11878.9739621368,38528.4639156773,423532.716341157
20,0.91,11276.9331731748,42748.1591090598,437893.844264133
20,0.86,12227.7942658455,93291.8895342028,977421.200281326
20,0.809999999999999,24304.9806167535,75747.4059839114,508620.950536198
20,0.76,31605.9984402679,153582.609630471,499203.895715735
20,0.71,23959.7048145618,170944.89423747,791044.269818782
20,0.66,24341.9411230538,227304.26025313,930172.887363033
20,0.61,22647.2528368308,275992.102977122,980630.256019779
20,0.56,19225.6988562447,121505.56980743,881635.153627413
20,0.51,23689.6155244437,120347.661973172,700216.041742167
20,0.46,34112.8851127739,64489.5615990245,453555.323802393
20,0.41,36832.6861131614,60009.0533694435,291827.552927921
20,0.36,22900.5467067947,52490.823267486,380934.177799065
20,0.31,25007.7359527794,56950.8362310791,264939.483154758
20,0.26,33599.8057530342,112275.372685659,419900.794300996
20,0.209999999999999,29710.9428896137,165167.192372231,1060479.82039223
20,0.16,20146.6146328858,109295.92743486,1509158.85088964
20,0.15,10083.8485602092,60821.2416478882,1095262.45549233
20,0.139999999999999,7684.72636138472,50792.1750945282,851909.799137207
20,0.13,7825.42188428721,51386.8723603216,969671.131085771
20,0.12,7059.7323363051,43294.4116989479,695254.054728908
20,0.109999999999999,6999.79202202201,37415.2724667114,692079.294447925
20,0.0999999999999999,7475.27750571284,35309.3299217709,808451.0919984
20,0.09,6766.6855584796,44943.2386451666,630927.57462661
20,0.0799999999999999,7849.66590475709,53431.893452086,468376.570209319
20,0.0699999999999999,6574.66030976865,42234.4193307688,544373.841690096
20,0.06,6340.00007346862,39438.2702437262,407342.818171067
20,0.0499999999999999,6051.81720196643,34372.2445018268,335581.844499844
20,0.0399999999999999,5221.52289094492,26886.662422472,292662.511393697
20,0.03,7649.60418557485,20474.0575277849,238467.325405581
20,0.0199999999999999,3813.81382680289,16820.5835002617,190671.729794192
20,0.00999999999999998,3813.81382680289,16820.5835002617,190671.729794192
20,0,3813.81382680289,16820.5835002617,190671.729794192
30,1,7789.75699259561,35223.585813712,35223.585813712
30,0.99,7789.75699259561,35223.585813712,35223.585813712
30,0.98,10846.5788327295,45491.14766345,45491.14766345
30,0.97,18659.4957467477,53175.821956743,53175.821956743
30,0.96,17209.2500895385,44985.5816639205,44985.5816639205
30,0.95,18917.9512947614,39564.7894611226,39564.7894611226
30,0.94,15602.0357058439,51718.1534031953,51718.1534031953
30,0.93,18150.2617917745,46278.5943652914,46278.5943652914
30,0.92,15817.4476404084,47733.5268082946,47733.5268082946
30,0.91,15908.103261609,52928.0648931862,52928.0648931862
30,0.86,15285.1400227827,110613.075072146,110613.075072146
30,0.809999999999999,37720.285443109,115099.617202694,115099.617202694
30,0.76,35401.6088970582,210618.611020252,210618.611020252
30,0.71,31029.1629303897,231034.977063795,231034.977063795
30,0.66,33980.2960787014,252024.549746268,252024.549746268
30,0.61,28861.2750413541,284870.432441726,284870.432441726
30,0.56,34093.3267518474,216395.897162005,216395.897162005
30,0.51,37992.2859913193,160077.203907602,160077.203907602
30,0.46,49717.9854773045,82880.4783573019,82880.4783573019
30,0.41,39369.0518596245,72864.4206398088,72864.4206398088
30,0.36,34544.0433191957,81890.341496427,81890.341496427
30,0.31,44905.3328134583,77669.6448156557,77669.6448156557
30,0.26,53567.2787141596,100945.916624489,100945.916624489
30,0.209999999999999,53707.9559425841,422812.223527274,422812.223527274
30,0.16,47675.1438699381,411759.995130328,411759.995130328
30,0.15,27689.0241432967,160788.672727836,160788.672727836
30,0.139999999999999,15662.3077993503,79138.2231333294,79138.2231333294
30,0.13,15761.6393371613,91843.3347173289,91843.3347173289
30,0.12,16808.2706843511,71267.8860051265,71267.8860051265
30,0.109999999999999,19582.8546420854,114906.574171874,114906.574171874
30,0.0999999999999999,31388.3691429363,107954.561998201,107954.561998201
30,0.09,20632.3957435486,105470.035186044,105470.035186044
30,0.0799999999999999,15517.0155933515,86264.73682921,86264.73682921
30,0.0699999999999999,13331.1199096805,52908.4000827879,52908.4000827879
30,0.06,14480.1087393611,42204.3907692643,42204.3907692643
30,0.0499999999999999,13336.1218774634,41140.3245308817,41140.3245308817
30,0.0399999999999999,18508.309177319,31888.9142673799,31888.9142673799
30,0.03,11081.9483438225,15196.9367071706,15196.9367071706
30,0.0199999999999999,11081.9483438225,15196.9367071706,15196.9367071706
30,0.00999999999999998,11081.9483438225,15196.9367071706,15196.9367071706
30,0,11081.9483438225,15196.9367071706,15196.9367071706
40,1,2115.61341631126,30827.2839856102,656611.611875469
40,0.99,2115.61341631126,30827.2839856102,656611.611875469
40,0.98,674.920415951845,35726.3328533986,300026.989849016
40,0.97,19467.7678766836,45765.1014893568,207455.638909331
40,0.96,360.295933594947,29470.4668297987,193827.787210073
40,0.95,10319.6246675429,57367.9957421622,430890.486302686
40,0.94,21230.106210273,54755.3073922626,626159.595086413
40,0.93,22300.729263504,63443.2323605207,564069.78742237
40,0.92,18228.0276460756,59850.1647628561,883391.988630073
40,0.91,19078.8891736431,103088.537174277,821554.40847636
40,0.86,19044.4746397013,260936.593040115,2117034.90542101
40,0.809999999999999,41641.522131868,146774.850237367,830763.297380965
40,0.76,22330.0178274077,167603.46191746,803287.051008605
40,0.71,20616.731710872,228138.189822185,1586495.41370977
40,0.66,29581.8977602148,216409.439844111,1387637.32956043
40,0.61,30296.6721874734,278448.462721754,1888131.45146162
40,0.56,34510.3547763604,237354.901130158,1429476.43156991
40,0.51,34894.6643871328,198966.831056609,1365619.69282282
40,0.46,42786.0440886876,141749.560781032,1387531.23010552
40,0.41,43398.8092886504,221457.207458528,2597511.19665913
40,0.36,42098.9285847064,150804.049204498,1663179.58944607
40,0.31,72186.0805695871,98000.5955441236,769934.528149795
40,0.26,81236.92801349,127699.992576893,774612.953746099
40,0.209999999999999,62141.9742509482,479419.165677771,3006700.62092586
40,0.16,43912.8217471093,448801.045627291,10702055.6848186
40,0.15,29196.0565647222,228089.916411401,3404797.82388132
40,0.139999999999999,22132.9229803559,125453.611501214,4754910.71871909
40,0.13,19491.5362085971,117101.013239607,3460608.91661216
40,0.12,40060.8392684837,210141.991088732,3546966.47842831
40,0.109999999999999,37625.991291371,176093.243153545,1281547.24585726
40,0.0999999999999999,41207.2055402549,183786.6255577,1361284.243937
40,0.09,42293.4052523478,116944.546574019,1360731.47787758
40,0.0799999999999999,37150.5687074386,94508.1999258593,1066367.402683
40,0.0699999999999999,41627.9092145114,117388.199560485,1056306.90743618
40,0.06,42902.7511819424,103713.569903023,885110.289876246
40,0.0499999999999999,28401.343865238,58322.3314777244,350635.643862762
40,0.0399999999999999,12285.0808605594,21523.3998011199,89007.5445239902
40,0.03,12285.0808605594,21523.3998011199,89007.5445239902
40,0.0199999999999999,12285.0808605594,21523.3998011199,89007.5445239902
40,0.00999999999999998,12285.0808605594,21523.3998011199,89007.5445239902
40,0,12285.0808605594,21523.3998011199,89007.5445239902
